z,xi_shoes,xi_planck,delta_xi,abs_delta_xi
0.00966,0.009636587623979032,0.009637913380080108,-1.325756101075784e-06,1.325756101075784e-06
0.00966,0.009636587623979032,0.009637913380080108,-1.325756101075784e-06,1.325756101075784e-06
0.00966,0.009636587623979032,0.009637913380080108,-1.325756101075784e-06,1.325756101075784e-06
0.01029,0.010263431577650455,0.010264935598063475,-1.5040204130196272e-06,1.5040204130196272e-06
0.00998,0.009955009521626972,0.0099564244243993,-1.4149027723290436e-06,1.4149027723290436e-06
0.00998,0.009955009521626972,0.0099564244243993,-1.4149027723290436e-06,1.4149027723290436e-06
0.00998,0.009955009521626972,0.0099564244243993,-1.4149027723290436e-06,1.4149027723290436e-06
0.00998,0.009955009521626972,0.0099564244243993,-1.4149027723290436e-06,1.4149027723290436e-06
0.01051,0.010482282394192124,0.010483851304822028,-1.5689106299034833e-06,1.5689106299034833e-06
0.01051,0.010482282394192124,0.010483851304822028,-1.5689106299034833e-06,1.5689106299034833e-06
0.00957,0.00954702217850737,0.009548323383100745,-1.3012045933739197e-06,1.3012045933739197e-06
0.00957,0.00954702217850737,0.009548323383100745,-1.3012045933739197e-06,1.3012045933739197e-06
0.009,0.008979679691908554,0.008980830716894475,-1.151024985920901e-06,1.151024985920901e-06
0.0105,0.010472335158490977,0.010473901089934108,-1.565931443131205e-06,1.565931443131205e-06
0.0105,0.010472335158490977,0.010473901089934108,-1.565931443131205e-06,1.565931443131205e-06
0.0105,0.010472335158490977,0.010473901089934108,-1.565931443131205e-06,1.565931443131205e-06
0.01042,0.010392755460192853,0.010394297659739631,-1.5421995467786165e-06,1.5421995467786165e-06
0.00979,0.009765952736449491,0.009767314359669125,-1.3616232196339562e-06,1.3616232196339562e-06
0.00979,0.009765952736449491,0.009767314359669125,-1.3616232196339562e-06,1.3616232196339562e-06
0.00921,0.009188719630345099,0.00918992491676118,-1.2052864160807392e-06,1.2052864160807392e-06
0.00921,0.009188719630345099,0.00918992491676118,-1.2052864160807392e-06,1.2052864160807392e-06
0.01042,0.010392755460192853,0.010394297659739631,-1.5421995467786165e-06,1.5421995467786165e-06
0.0098,0.009775903546600994,0.009777267948596648,-1.3644019956540049e-06,1.3644019956540049e-06
